"key","en","es","ca","eu","gl","pt","fr","it","de","tr","pl","ar"
"error_xtream_bad_response","Unexpected reply from the server. Check that the URL is an Xtream panel.","Respuesta inesperada del servidor. Comprueba que la URL es un panel Xtream.","Resposta inesperada del servidor. Comprova que la URL és un panell Xtream.","Zerbitzariaren erantzun ustekabekoa. Egiaztatu URLa Xtream panel bat dela.","Resposta inesperada do servidor. Comproba que a URL é un panel Xtream.","Resposta inesperada do servidor. Verifica que o URL é um painel Xtream.","Réponse inattendue du serveur. Vérifie que l'URL est un panneau Xtream.","Risposta inattesa dal server. Controlla che l'URL sia un pannello Xtream.","Unerwartete Antwort vom Server. Prüfe, ob die URL ein Xtream-Panel ist.","Sunucudan beklenmeyen yanıt. URL'nin bir Xtream paneli olduğundan emin ol.","Nieoczekiwana odpowiedź serwera. Sprawdź, czy adres URL to panel Xtream.","رد غير متوقع من الخادم. تأكد من أن الرابط هو لوحة Xtream."
"default_m3u_name","M3U list","Lista M3U","Llista M3U","M3U zerrenda","Lista M3U","Lista M3U","Liste M3U","Lista M3U","M3U-Liste","M3U listesi","Lista M3U","قائمة M3U"
"profiles_longpress_hint","Long-press a profile to edit or delete it","Mantén pulsado un perfil para editarlo o eliminarlo","Mantén premut un perfil per editar-lo o eliminar-lo","Eduki sakatuta profila editatzeko edo ezabatzeko","Mantén premido un perfil para editalo ou eliminalo","Mantém premido um perfil para o editar ou eliminar","Maintiens un profil appuyé pour le modifier ou le supprimer","Tieni premuto un profilo per modificarlo o eliminarlo","Halte ein Profil gedrückt, um es zu bearbeiten oder zu löschen","Düzenlemek veya silmek için bir profili basılı tut","Przytrzymaj profil, aby go edytować lub usunąć","اضغط مطولًا على ملف شخصي لتعديله أو حذفه"
"action_edit","Edit","Editar","Edita","Editatu","Editar","Editar","Modifier","Modifica","Bearbeiten","Düzenle","Edytuj","تعديل"
"action_delete","Delete","Eliminar","Elimina","Ezabatu","Eliminar","Eliminar","Supprimer","Elimina","Löschen","Sil","Usuń","حذف"
"action_cancel","Cancel","Cancelar","Cancel·la","Utzi","Cancelar","Cancelar","Annuler","Annulla","Abbrechen","İptal","Anuluj","إلغاء"
"action_add","Add","Añadir","Afegeix","Gehitu","Engadir","Adicionar","Ajouter","Aggiungi","Hinzufügen","Ekle","Dodaj","إضافة"
"settings_language","Language","Idioma","Idioma","Hizkuntza","Idioma","Idioma","Langue","Lingua","Sprache","Dil","Język","اللغة"
"language_system","Automatic (device)","Automático (dispositivo)","Automàtic (dispositiu)","Automatikoa (gailua)","Automático (dispositivo)","Automático (dispositivo)","Automatique (appareil)","Automatico (dispositivo)","Automatisch (Gerät)","Otomatik (cihaz)","Automatycznie (urządzenie)","تلقائي (الجهاز)"
"player_paused","⏸ Paused","⏸ Pausado","⏸ En pausa","⏸ Pausatuta","⏸ En pausa","⏸ Em pausa","⏸ En pause","⏸ In pausa","⏸ Pausiert","⏸ Duraklatıldı","⏸ Wstrzymano","⏸ متوقف مؤقتًا"
